FullName,ClubName,AgeGroup,Position,FIFARating,MinutesPlayed,GAContribution,FantasyScore,MarketValue,TransferStatus
Kristoffer Klaesson,Leeds United,21 and under,Goalkeeper,65,0,0,0,2000000,Retained
Loris Karius,Newcastle United,26-29,Goalkeeper,72,0,0,0,2000000,Retained
Jamal Lowe,AFC Bournemouth,26-29,Forward,71,11,0,1,2000000,Transferred
James Hill,AFC Bournemouth,21 and under,Defender,64,0,0,0,2000000,Transferred
Joe Hodge,Wolverhampton Wanderers,21 and under,Midfielder,55,0,0,0,2000000,Transferred
Lino Sousa,Arsenal,21 and under,Defender,56,0,0,0,2000000,Transferred
Wayne Hennessey,Nottingham Forest,30 and above,Goalkeeper,74,271,0,2,2000000,Retained
Junior Stanislas,AFC Bournemouth,30 and above,Forward,72,58,0,1,1800000,Retained
Conor Coventry,West Ham United,22-25,Midfielder,66,1,0,1,1800000,Transferred
Tom Heaton,Manchester United,30 and above,Goalkeeper,73,0,0,0,1800000,Retained
Darren Randolph,West Ham United,30 and above,Goalkeeper,73,0,0,0,1500000,Retained
Jack Colback,Nottingham Forest,30 and above,Midfielder,69,492,0,1.3,1500000,Retained
Kaide Gordon,Liverpool,21 and under,Forward,62,0,0,0,1500000,Retained
Karl Hein,Arsenal,21 and under,Goalkeeper,64,0,0,0,1500000,Retained
Lucas Tolentino Coelho de Lima,West Ham United,22-25,Midfielder,82,2154,9,3.5,1500000,Retained
Jack Butland,Crystal Palace,26-29,Goalkeeper,73,0,0,0,1500000,Transferred
Mathias Jrgensen,Brentford,30 and above,Defender,72,2805,12,3.6,1500000,Transferred
Tayo Adaramola,Crystal Palace,21 and under,Defender,58,0,0,0,1500000,Transferred
Vicente Guaita Panadero,Crystal Palace,30 and above,Goalkeeper,79,2430,0,3.7,1500000,Retained
Lucas Rodrigues M. Silva,Tottenham Hotspur,26-29,Forward,80,145,1,1.1,1300000,Retained
Leo Hjelde,Leeds United,21 and under,Defender,65,0,0,0,1200000,Retained
Harrison Ashby,West Ham United,21 and under,Defender,62,0,0,0,1200000,Transferred
Sonny Perkins,Leeds United,21 and under,Forward,58,0,0,0,1200000,Retained
_ukasz Fabia_ski,West Ham United,30 and above,Goalkeeper,82,3111,0,3.5,1000000,Retained
Adrián San Miguel Castillo,Liverpool,30 and above,Goalkeeper,72,0,0,0,1000000,Retained
Asmir Begovi_,Everton,30 and above,Goalkeeper,75,90,0,9,1000000,Retained
José Pedro Malheiro de Sá,Wolverhampton Wanderers,26-29,Goalkeeper,81,3240,0,4.1,1000000,Retained
Santiago Muñoz,Newcastle United,21 and under,Forward,64,0,0,0,1000000,Retained
Connor Ronan,Wolverhampton Wanderers,22-25,Midfielder,67,1,0,1,1000000,Retained
Joe Whitworth,Crystal Palace,21 and under,Goalkeeper,53,0,0,0,1000000,Retained
Joshua Wilson-Esbrand,Manchester City,21 and under,Defender,58,0,0,0,1000000,Retained
Leonardo B. Lohner Maia,Wolverhampton Wanderers,26-29,Forward,67,0,0,0,1000000,Retained
Lyle Taylor,Nottingham Forest,30 and above,Forward,69,0,0,0,1000000,Retained
Ashley Young,Aston Villa,30 and above,Midfielder,74,2031,1,3,1000000,Transferred
Charlie Goode,Brentford,26-29,Defender,67,0,0,0,1000000,Transferred
Chem Campbell,Wolverhampton Wanderers,21 and under,Midfielder,60,68,0,1,1000000,Transferred
Divin Mubama,West Ham United,21 and under,Forward,56,36,0,1,1000000,Transferred
Luke Harris,Fulham,21 and under,Midfielder,61,10,0,1,1000000,Transferred
Tim Ream,Fulham,30 and above,Defender,70,2898,1,3,1000000,Retained
Luke Matheson,Wolverhampton Wanderers,21 and under,Defender,60,0,0,0,900000,Retained
Alfie Devine,Tottenham Hotspur,21 and under,Forward,60,0,0,0,900000,Transferred
Kasey McAteer,Leicester City,21 and under,Midfielder,60,0,0,0,900000,Transferred
Matija _arki_,Wolverhampton Wanderers,22-25,Goalkeeper,68,0,0,0,850000,Retained
Filip Marschall,Aston Villa,21 and under,Goalkeeper,58,0,0,0,800000,Transferred
Matthew Cox,Brentford,21 and under,Goalkeeper,60,0,0,0,800000,Transferred
Zidane Iqbal,Manchester United,21 and under,Midfielder,62,0,0,0,800000,Transferred
Brandon Austin,Tottenham Hotspur,22-25,Goalkeeper,64,0,0,0,600000,Retained
Carlos Miguel Ribeiro Dias,Nottingham Forest,26-29,Midfielder,69,6,0,1,600000,Retained
Charlie Savage,Manchester United,21 and under,Midfielder,61,0,0,0,600000,Retained
Harvey White,Tottenham Hotspur,21 and under,Midfielder,64,4,0,1,600000,Retained
Josh Brooking,Chelsea,21 and under,Defender,60,0,0,0,600000,Retained
Tom McGill,Brighton & Hove Albion,22-25,Goalkeeper,55,0,0,0,600000,Retained
Fábio Henrique Tavares,Liverpool,26-29,Midfielder,87,2666,2,1.9,500000,Retained
Alex Robertson,Manchester City,21 and under,Midfielder,58,0,0,0,500000,Retained
Reece Welch,Everton,21 and under,Defender,55,0,0,0,500000,Retained
Scott Carson,Manchester City,30 and above,Goalkeeper,65,0,0,0,500000,Retained
Juan Castillo,Chelsea,22-25,Midfielder,62,0,0,0,450000,Retained
Lamare Bogarde,Aston Villa,21 and under,Defender,58,0,0,0,450000,Transferred
Luiz Frello Filho Jorge,Chelsea,30 and above,Midfielder,85,2127,4,2.5,400000,Retained
Mark Gillespie,Newcastle United,30 and above,Goalkeeper,67,0,0,0,400000,Retained
Charlie Webster,Chelsea,21 and under,Midfielder,58,0,0,0,400000,Transferred
Ed Turns,Brighton & Hove Albion,21 and under,Defender,59,0,0,0,400000,Transferred
Isaac Price,Everton,21 and under,Midfielder,50,32,0,0,400000,Transferred
Yehor Yarmoliuk,Brentford,21 and under,Midfielder,62,0,0,0,400000,Retained
Matthew Smith,Arsenal,21 and under,Midfielder,64,0,0,0,350000,Retained
Pierre Ekwah Elimby,West Ham United,21 and under,Midfielder,59,0,0,0,350000,Retained
Oliwier Zych,Aston Villa,21 and under,Goalkeeper,54,0,0,0,350000,Transferred
Wanya Marçal Madivadua,Leicester City,21 and under,Midfielder,60,0,0,0,300000,Retained
Ben Knight,Manchester City,21 and under,Midfielder,60,0,0,0,300000,Retained
Dom Ballard,Southampton,21 and under,Forward,59,24,0,1,300000,Retained
Jack Wells-Morrison,Crystal Palace,21 and under,Midfielder,57,0,0,0,300000,Retained
Joshua Feeney,Aston Villa,21 and under,Defender,57,0,0,0,300000,Retained
Thanawat Suengchitthawon,Leicester City,22-25,Midfielder,60,0,0,0,300000,Retained
Jordan Smith,Nottingham Forest,26-29,Goalkeeper,67,0,0,0,300000,Transferred
Odel Offiah,Brighton & Hove Albion,21 and under,Defender,59,23,0,0.5,300000,Transferred
Willy Caballero,Southampton,30 and above,Goalkeeper,70,0,0,0,300000,Retained
James Furlong,Brighton & Hove Albion,21 and under,Defender,57,0,0,0,275000,Retained
Ryan Trevitt,Brentford,21 and under,Midfielder,58,0,0,0,275000,Transferred
C_t_lin Cîrjan,Arsenal,21 and under,Midfielder,62,0,0,0,250000,Retained
Alex Murphy,Newcastle United,21 and under,Defender,60,0,0,0,250000,Retained
Andy Lonergan,Everton,30 and above,Goalkeeper,62,0,0,0,250000,Retained
Freddie Potts,West Ham United,21 and under,Midfielder,56,0,0,0,250000,Retained
Jamal Baptiste,West Ham United,21 and under,Defender,57,0,0,0,250000,Retained
Oliver Hammond,Nottingham Forest,21 and under,Midfielder,54,0,0,0,250000,Retained
Ryan Finnigan,Southampton,21 and under,Midfielder,55,0,0,0,250000,Retained
Sammy Braybrooke,Leicester City,21 and under,Midfielder,61,0,0,0,250000,Retained
Antef Tsoungui,Brighton & Hove Albion,21 and under,Defender,60,0,0,0,250000,Transferred
Eldin Jakupovi_,Everton,30 and above,Goalkeeper,63,0,0,0,200000,Retained
Dylan Williams,Chelsea,21 and under,Defender,61,0,0,0,200000,Retained
Hugo Bueno Lpez,Wolverhampton Wanderers,21 and under,Midfielder,60,1307,1,2,200000,Retained
Jake Cain,Liverpool,21 and under,Midfielder,62,0,0,0,200000,Retained
Joel Ideho,Arsenal,21 and under,Midfielder,61,0,0,0,200000,Retained
Lewis Payne,Southampton,21 and under,Defender,54,0,0,0,200000,Retained
Matthew Bondswell,Newcastle United,21 and under,Defender,60,0,0,0,200000,Retained
Terry Ablade,Fulham,21 and under,Forward,58,0,0,0,200000,Retained
Thiago Emiliano da Silva,Chelsea,30 and above,Defender,86,2351,2,3,200000,Retained
Jay Turner-Cooke,Newcastle United,21 and under,Midfielder,59,0,0,0,200000,Transferred
Michael Ndiweni,Newcastle United,21 and under,Forward,58,0,0,0,200000,Transferred
Tommi O'Reilly,Aston Villa,21 and under,Midfielder,59,0,0,0,200000,Transferred
Will Dennis,AFC Bournemouth,21 and under,Goalkeeper,58,0,0,0,200000,Transferred
Ateef Konaté,Nottingham Forest,21 and under,Midfielder,61,0,0,0,150000,Retained
Kristian _ekularac,Fulham,21 and under,Midfielder,59,0,0,0,150000,Retained
Aaron Pressley,Brentford,21 and under,Forward,61,0,0,0,150000,Retained
Jackson Smith,Wolverhampton Wanderers,21 and under,Goalkeeper,54,0,0,0,150000,Retained
Kyle John,Everton,21 and under,Defender,64,0,0,0,150000,Retained
Sil Swinkels,Aston Villa,21 and under,Defender,56,0,0,0,150000,Retained
Cameron Peupion,Brighton & Hove Albion,21 and under,Midfielder,56,5,0,1,150000,Transferred
George Wickens,Fulham,21 and under,Goalkeeper,58,0,0,0,150000,Transferred
Jack Hinchy,Brighton & Hove Albion,21 and under,Midfielder,53,0,0,0,150000,Transferred
Killian Phillips,Crystal Palace,21 and under,Midfielder,58,0,0,0,150000,Transferred
Alex Gilbert,Brentford,21 and under,Forward,59,0,0,0,100000,Retained
Lewis Brunt,Leicester City,21 and under,Midfielder,55,22,0,1,100000,Retained
Tristan Crama,Brentford,21 and under,Defender,58,0,0,0,100000,Retained
Tawanda Maswanhise,Leicester City,21 and under,Midfielder,60,0,0,0,50000,Retained
Diogo José Teixeira da Silva,Liverpool,22-25,Forward,85,1125,11,3.6,25000,Retained
